player_id,position
4241985,RB
3051876,TE
4241474,RB
4432710,RB
3116385,RB
4432708,WR
4241478,WR
4360516,RB
4685382,RB
16460,WR
4428557,RB
4248528,WR
4243537,WR
4366031,WR
4722893,RB
-16005,D/ST
-16006,D/ST
16731,WR
4241372,WR
-16008,D/ST
3117256,TE
4429084,QB
4040761,RB
-16012,D/ST
4429023,RB
4258595,TE
-16015,D/ST
3929645,TE
4360294,RB
3051392,RB
-16018,D/ST
-16020,D/ST
4429096,RB
4430637,WR
3932905,WR
4361777,RB
4428850,WR
3051926,RB
3121427,WR
15795,WR
3045138,WR
4038815,RB
4682745,RB
4678008,RB
8439,QB
4035676,RB
4360761,WR
4360248,TE
2576414,RB
4242431,RB
4432577,QB
4597500,WR
4361411,TE
4241479,QB
16782,RB
4426386,RB
4241555,RB
4371733,RB
3116593,RB
4240021,RB
4240600,WR
3059722,WR
16733,WR
-16010,D/ST
3128390,WR
4048244,RB
14880,QB
4429025,WR
3115394,WR
3121410,WR
2976316,WR
4045163,RB
4035886,RB
3918639,TE
3135321,WR
4242540,WR
4360238,RB
3122840,QB
3045144,WR
3925347,RB
4046692,WR
3139925,RB
-16029,D/ST
4430191,WR
2573401,TE
4360310,QB
4426485,WR
4567156,WR
15864,QB
3059915,RB
3917792,QB
4372414,WR
4360635,TE
4239934,RB
4361409,WR
2576925,TE
3116389,RB
3115364,RB
2980453,RB
4372485,WR
4240455,RB
3120348,WR
2576434,RB
4052042,RB
2576623,WR
4240657,RB
3115378,WR
4039359,RB
16790,WR
4035004,WR
4036348,WR
2330,QB
-16009,D/ST
13982,WR
16799,WR
-16011,D/ST
15072,WR
2572861,RB
14881,QB
3116164,TE
4242214,RB
3025433,RB
3930086,TE
3051738,WR
-16024,D/ST
-16027,D/ST
4036131,TE
16757,QB
2574808,WR
4383351,QB
3916566,WR
3046439,TE
15807,RB
4040980,TE
12483,QB
3916430,RB
15880,WR
3119195,RB
2975674,TE
16913,RB
4243160,WR
14876,QB
2974858,WR
2979843,RB
3054212,TE
-16014,D/ST
11237,QB
14053,WR
3919596,RB
3912550,RB
3042778,WR
13229,TE
16813,TE
13934,WR
2508176,RB
3052117,RB
-16028,D/ST
2979477,RB
2976592,WR
3128721,RB
15349,WR
4035170,WR
4038818,WR
3886818,RB
3043275,TE
4241401,RB
3052876,WR
3895827,RB
4241475,WR
2971618,WR
4241802,WR
3932423,WR
14924,WR
3923397,RB
3050487,WR
3060022,RB
15825,RB
3915399,WR
11283,WR
4035072,RB
2580,QB
10452,RB
3916925,RB
16725,WR
3051439,RB
3115375,RB
2972460,WR
2977644,RB
5528,WR
3066158,RB
16732,TE
13981,RB
15966,RB
13983,WR
5536,QB
13217,WR
12514,RB
16804,WR
12649,WR
3046779,QB
13994,QB
3049916,RB
13295,WR
15920,RB
3139605,RB
2576716,WR
3924327,QB
4047839,WR
2573079,QB
3699935,RB
16504,TE
12537,TE
3115306,WR
3123050,TE
2969962,RB
3116136,RB
14912,WR
3924365,TE
3916945,WR
16781,WR
16974,TE
17359,RB
14993,K
2576491,WR
2587819,WR
2971573,K
3116721,RB
3122672,RB
16791,WR
3050478,K
5529,QB
15705,WR
3123052,K
3127306,WR
3115913,WR
3043080,TE
3124679,K
8479,RB
3128774,RB
9761,TE
3057987,WR
2578570,QB
16486,K
9704,K
2972091,RB
2985659,K
3051902,RB
3915823,WR
3843750,RB
4333,K
15853,TE
4038441,RB
16944,RB
2969939,QB
-16030,D/ST
15860,TE
3122449,WR
14198,RB
3892889,WR
15683,K
4361606,RB
16777,RB
3039707,QB
3055899,K
9354,K
14922,WR
14221,WR
2577134,RB
16016,WR
3051891,RB
15826,RB
12563,WR
3122866,RB
2520698,WR
10456,RB
17177,WR
2573300,RB
11674,WR
14874,QB
16730,WR
3046409,RB
17372,K
2977609,WR
13215,WR
15839,WR
8416,QB
13216,WR
3042435,WR
15971,RB
14885,RB
