season,week,transaction_id,related_transaction_id,transaction_type,status,espn_team_id,bid_amount,item_type,player_id,player_name,from_team_id,to_team_id,date
2020,2,644a8acf-4af5-49df-9c12-61b56e224af9,112ca3c5-cea3-4e74-9ea7-42c965279fbe,WAIVER,FAILED_INVALIDPLAYERSOURCE,2,20,ADD,2570986.0,Malcolm Brown,0.0,2.0,2020-09-16
2020,2,644a8acf-4af5-49df-9c12-61b56e224af9,112ca3c5-cea3-4e74-9ea7-42c965279fbe,WAIVER,FAILED_INVALIDPLAYERSOURCE,2,20,DROP,12514.0,LeSean McCoy,2.0,0.0,2020-09-16
2020,2,85fcc729-05a9-4624-951f-e530b5bb2c61,4db774c7-da23-4a4f-90f1-848f780469ce,WAIVER,FAILED_INVALIDPLAYERSOURCE,12,7,ADD,3916430.0,Nyheim Hines,0.0,12.0,2020-09-16
2020,2,85fcc729-05a9-4624-951f-e530b5bb2c61,4db774c7-da23-4a4f-90f1-848f780469ce,WAIVER,FAILED_INVALIDPLAYERSOURCE,12,7,DROP,10452.0,Adrian Peterson,12.0,0.0,2020-09-16
2020,2,56851c76-57f0-4224-ba7d-4c5296c5c7fa,,FREEAGENT,EXECUTED,9,0,ADD,3128451.0,Tre'Quan Smith,0.0,9.0,2020-09-18
2020,2,725ebd88-3495-4428-b02e-59726c2b70e5,bc374d29-c8fb-4519-a328-83df6adc32c5,WAIVER,FAILED_PLAYERALREADYDROPPED,7,1,ADD,-16012.0,Chiefs D/ST,0.0,7.0,2020-09-16
2020,2,725ebd88-3495-4428-b02e-59726c2b70e5,bc374d29-c8fb-4519-a328-83df6adc32c5,WAIVER,FAILED_PLAYERALREADYDROPPED,7,1,DROP,3045260.0,Corey Clement,7.0,0.0,2020-09-16
2020,2,bd84005f-a8cb-4784-aadd-d0e4725b7407,3b2311c9-889a-4813-9072-75273ad25558,WAIVER,CANCELED,1,0,ADD,4035072.0,Benny Snell Jr.,0.0,1.0,2020-09-15
2020,2,bd84005f-a8cb-4784-aadd-d0e4725b7407,3b2311c9-889a-4813-9072-75273ad25558,WAIVER,CANCELED,1,0,DROP,3115306.0,Josh Reynolds,1.0,0.0,2020-09-15
2020,2,bff2250f-11df-44e4-99ac-8f2cc7808437,65e59a97-12c8-4e2d-84f1-e481a2f25e30,WAIVER,FAILED_INVALIDPLAYERSOURCE,10,20,ADD,3916430.0,Nyheim Hines,0.0,10.0,2020-09-16
2020,2,bff2250f-11df-44e4-99ac-8f2cc7808437,65e59a97-12c8-4e2d-84f1-e481a2f25e30,WAIVER,FAILED_INVALIDPLAYERSOURCE,10,20,DROP,15966.0,Chris Thompson,10.0,0.0,2020-09-16
2020,2,a979a1ee-542c-47fa-8b91-ef2ad489d10d,9197d058-61b3-405a-a029-897d7f9d6916,WAIVER,EXECUTED,13,3,ADD,3886818.0,Myles Gaskin,0.0,13.0,2020-09-16
